Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
65,Juan Barinaga,ARG,DF,Club Atlético Belgrano,22,2000,13.7,29.6,43.7,67.6,585.0,287.4,11.7,14.0,83.3,12.7,18.7,68.0,4.74,8.83,53.7,0.00,0.09,0.07,-0.09,0.95,3.07,1.02,0.80,3.14,https://fbref.com/en/players/6bdb7078/Juan-Barinaga,6bdb7078,Argentina Liga Profesional
66,Daniel Barrea,ARG,FW,Club Atlético Belgrano,21,2001,2.1,15.2,25.2,60.4,224.8,14.8,9.52,12.9,74.1,3.33,6.19,53.8,1.43,2.38,60.0,0.00,0.10,0.05,-0.10,1.43,0.48,0.00,0.00,0.48,https://fbref.com/en/players/5bf6b9f3/Daniel-Barrea,5bf6b9f3,Argentina Liga Profesional
67,Diego Barrera,ARG,FW,Talleres,18,2004,1.4,11.4,20.0,57.1,150.7,57.1,6.43,7.86,81.8,4.29,5.71,75.0,0.00,2.86,0.0,0.00,0.00,0.14,0.00,0.00,0.00,1.43,0.71,2.14,https://fbref.com/en/players/3ad28381/Diego-Barrera,3ad28381,Argentina Liga Profesional
68,Sergio Barreto,ARG,DF,Independiente,23,1999,12.9,26.0,36.0,72.0,500.5,241.9,8.14,9.46,86.1,14.2,17.1,83.2,2.95,8.14,36.2,0.00,0.05,0.01,-0.05,0.39,1.24,0.00,0.00,1.86,https://fbref.com/en/players/0c14329b/Sergio-Barreto,0c14329b,Argentina Liga Profesional
69,Nicolás Barrientos,ARG,"MF,FW",Instituto Atlético Central Córdoba,27,1995,1.2,47.5,65.0,73.1,831.7,288.3,21.7,24.2,89.7,18.3,22.5,81.5,7.50,13.3,56.3,0.83,0.33,0.67,0.50,3.33,7.50,0.83,0.00,11.7,https://fbref.com/en/players/189d9c64/Nicolas-Barrientos,189d9c64,Argentina Liga Profesional
70,Nahuel Barrios,ARG,"MF,FW",San Lorenzo,24,1998,18.8,40.4,50.7,79.6,664.1,192.8,20.5,23.7,86.5,13.7,16.2,84.3,4.20,6.33,66.4,0.05,0.11,0.18,-0.06,2.23,4.57,1.76,0.32,6.91,https://fbref.com/en/players/b2fabf7e/Nahuel-Barrios,b2fabf7e,Argentina Liga Profesional
71,Pier Barrios,ARG,DF,Godoy Cruz,32,1990,23.1,30.6,41.9,72.9,659.2,284.4,8.05,9.61,83.8,16.8,20.3,82.7,5.45,10.5,51.9,0.04,0.02,0.03,0.03,0.26,2.47,0.26,0.17,2.81,https://fbref.com/en/players/f910551d/Pier-Barrios,f910551d,Argentina Liga Profesional
72,Bautista Barros Schelotto,ARG,DF,Gimnasia ELP,23,2000,12.7,26.3,42.3,62.2,479.2,295.4,11.5,12.9,89.0,11.0,18.7,59.1,3.23,8.98,36.0,0.08,0.09,0.09,-0.02,0.55,2.05,1.18,0.71,3.15,https://fbref.com/en/players/ab935d6a/Bautista-Barros-Schelotto,ab935d6a,Argentina Liga Profesional
73,Augusto Batalla,ARG,GK,San Lorenzo,26,1996,22.0,15.3,27.8,55.2,669.7,599.1,1.05,1.09,95.8,4.05,4.09,98.9,10.2,22.4,45.5,0.00,0.00,0.00,-0.00,0.09,1.05,0.00,0.00,0.09,https://fbref.com/en/players/fc627681/Augusto-Batalla,fc627681,Argentina Liga Profesional
74,Jonathan Bay,ARG,DF,Instituto Atlético Central Córdoba,29,1993,4.7,28.7,43.2,66.5,484.7,224.3,13.6,16.4,83.1,11.1,16.6,66.7,2.55,6.81,37.5,0.00,0.02,0.06,-0.02,0.85,1.91,1.28,0.64,2.77,https://fbref.com/en/players/663d052d/Jonathan-Bay,663d052d,Argentina Liga Profesional
