Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Player Link_,Player ID_,Competition
2427,Marco Sportiello,ITA,GK,Milan,it Serie A,31-356,1992,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/ac4003af/Marco-Sportiello,ac4003af,Big 5 combined
2428,Anton Stach,GER,MF,Hoffenheim,de Bundesliga,25-167,1998,28,23,2117,23.5,0.09,0.13,0.21,0.09,0.00,0.00,0.17,0.00,0.07,0.07,0.14,0.20,2.00,5.45,1.83,0.09,0.13,0.21,0.09,0.21,0.07,0.14,0.21,0.07,0.21,https://fbref.com/en/players/0f59a7bf/Anton-Stach,0f59a7bf,Big 5 combined
2429,Anton Stach,GER,MF,Mainz 05,de Bundesliga,25-167,1998,2,2,170,1.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.05,0.16,1.58,4.21,5.26,0.00,0.00,0.00,0.00,0.00,0.10,0.06,0.16,0.10,0.16,https://fbref.com/en/players/0f59a7bf/Anton-Stach,0f59a7bf,Big 5 combined
2430,Jens Stage,DEN,MF,Werder Bremen,de Bundesliga,27-174,1996,27,26,2244,24.9,0.08,0.04,0.12,0.08,0.00,0.00,0.20,0.04,0.16,0.16,0.07,0.23,0.80,3.25,2.17,0.08,0.04,0.12,0.08,0.12,0.16,0.07,0.23,0.16,0.23,https://fbref.com/en/players/1fffae99/Jens-Stage,1fffae99,Big 5 combined
2431,Benjamin Stambouli,FRA,MF,Reims,fr Ligue 1,33-261,1990,5,2,191,2.1,0.00,0.48,0.48,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.05,0.05,0.48,3.33,0.48,0.00,0.47,0.47,0.00,0.47,0.01,0.04,0.05,0.01,0.05,https://fbref.com/en/players/5939baa2/Benjamin-Stambouli,5939baa2,Big 5 combined
2432,Josip Stanišić,CRO,DF,Leverkusen,de Bundesliga,24-028,2000,18,12,1162,12.9,0.16,0.00,0.16,0.16,0.00,0.00,0.23,0.00,0.05,0.05,0.05,0.09,3.49,6.67,3.72,0.15,0.00,0.15,0.15,0.15,0.05,0.04,0.10,0.05,0.10,https://fbref.com/en/players/7ed08d5c/Josip-Stanisic,7ed08d5c,Big 5 combined
2433,Carl Starfelt,SWE,DF,Celta Vigo,es La Liga,28-334,1995,23,22,1863,20.7,0.05,0.00,0.05,0.05,0.00,0.00,0.10,0.00,0.07,0.07,0.01,0.08,0.24,1.64,0.05,0.05,0.00,0.05,0.05,0.05,0.07,0.01,0.08,0.07,0.08,https://fbref.com/en/players/5cfec13d/Carl-Starfelt,5cfec13d,Big 5 combined
2434,Niklas Stark,GER,DF,Werder Bremen,de Bundesliga,29-016,1995,15,12,1060,11.8,0.17,0.00,0.17,0.17,0.00,0.00,0.34,0.00,0.02,0.02,0.00,0.02,0.42,3.05,0.08,0.17,0.00,0.17,0.17,0.17,0.02,0.00,0.02,0.02,0.02,https://fbref.com/en/players/aad48be9/Niklas-Stark,aad48be9,Big 5 combined
2435,Jason Steele,ENG,GK,Brighton,eng Premier League,33-256,1990,16,16,1440,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/28300a16/Jason-Steele,28300a16,Big 5 combined
2436,Pascal Stenzel,GER,DF,Stuttgart,de Bundesliga,28-041,1996,22,14,1030,11.4,0.00,0.44,0.44,0.00,0.00,0.00,0.26,0.09,0.03,0.03,0.27,0.31,2.89,7.28,3.95,0.00,0.44,0.44,0.00,0.44,0.03,0.27,0.30,0.03,0.30,https://fbref.com/en/players/99f7e9aa/Pascal-Stenzel,99f7e9aa,Big 5 combined
2437,Leonidas Stergiou,SUI,DF,Stuttgart,de Bundesliga,22-058,2002,13,4,414,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.43,1.96,2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,https://fbref.com/en/players/08391d76/Leonidas-Stergiou,08391d76,Big 5 combined
2438,Raheem Sterling,ENG,"FW,MF",Chelsea,eng Premier League,29-144,1994,28,21,1875,20.8,0.29,0.19,0.48,0.29,0.00,0.00,0.29,0.00,0.30,0.30,0.20,0.50,5.53,3.51,11.4,0.29,0.19,0.48,0.29,0.48,0.30,0.20,0.50,0.30,0.50,https://fbref.com/en/players/b400bde0/Raheem-Sterling,b400bde0,Big 5 combined
2439,Trivante Stewart,JAM,"FW,MF",Salernitana,it Serie A,24-039,2000,4,0,100,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.09,0.09,1.82,0.00,5.45,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.12,0.06,0.12,https://fbref.com/en/players/75bd6f48/Trivante-Stewart,75bd6f48,Big 5 combined
2440,Angelo Stiller,GER,MF,Hoffenheim,de Bundesliga,23-026,2001,1,1,84,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,2.22,7.78,3.33,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12,https://fbref.com/en/players/3b1ed320/Angelo-Stiller,3b1ed320,Big 5 combined
2441,Angelo Stiller,GER,MF,Stuttgart,de Bundesliga,23-026,2001,28,27,2424,26.9,0.04,0.19,0.22,0.04,0.00,0.00,0.19,0.00,0.06,0.06,0.17,0.23,1.19,7.29,2.30,0.04,0.19,0.22,0.04,0.22,0.06,0.18,0.23,0.06,0.23,https://fbref.com/en/players/3b1ed320/Angelo-Stiller,3b1ed320,Big 5 combined
2442,Kevin Stöger,AUT,MF,Bochum,de Bundesliga,30-247,1993,29,29,2398,26.6,0.26,0.34,0.60,0.11,0.15,0.15,0.30,0.00,0.22,0.10,0.31,0.41,2.74,9.81,4.77,0.26,0.34,0.60,0.11,0.45,0.22,0.31,0.53,0.10,0.41,https://fbref.com/en/players/e5649a78/Kevin-Stoger,e5649a78,Big 5 combined
2443,Filip Stojilković,SUI,"FW,MF",Darmstadt 98,de Bundesliga,24-117,2000,6,0,154,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.12,0.12,0.00,0.12,2.35,1.76,5.88,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,https://fbref.com/en/players/0cbe584d/Filip-Stojilkovic,0cbe584d,Big 5 combined
2444,John Stones,ENG,"DF,MF",Manchester City,eng Premier League,29-338,1994,15,12,1042,11.6,0.09,0.00,0.09,0.09,0.00,0.00,0.17,0.00,0.09,0.09,0.02,0.11,1.38,4.91,2.07,0.09,0.00,0.09,0.09,0.09,0.09,0.02,0.11,0.09,0.11,https://fbref.com/en/players/5eecec3d/John-Stones,5eecec3d,Big 5 combined
2445,Thomas Strakosha,ALB,GK,Brentford,eng Premier League,29-042,1995,2,1,135,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/339fe0e8/Thomas-Strakosha,339fe0e8,Big 5 combined
2446,Jørgen Strand Larsen,NOR,FW,Celta Vigo,es La Liga,24-084,2000,32,32,2543,28.3,0.39,0.07,0.46,0.39,0.00,0.00,0.18,0.00,0.41,0.41,0.08,0.48,1.13,0.88,5.65,0.39,0.07,0.46,0.39,0.46,0.41,0.08,0.48,0.41,0.48,https://fbref.com/en/players/f553b2b3/Jorgen-Strand-Larsen,f553b2b3,Big 5 combined
2447,Gabriel Strefezza,BRA,FW,Lecce,it Serie A,27-012,1997,19,13,1112,12.4,0.08,0.00,0.08,0.00,0.08,0.08,0.32,0.00,0.20,0.14,0.10,0.23,2.74,4.35,6.53,0.08,0.00,0.08,0.00,0.00,0.20,0.09,0.29,0.14,0.23,https://fbref.com/en/players/ac4a4508/Gabriel-Strefezza,ac4a4508,Big 5 combined
2448,Kevin Strootman,NED,MF,Genoa,it Serie A,34-077,1990,23,14,1080,12.0,0.00,0.17,0.17,0.00,0.00,0.00,0.33,0.00,0.01,0.01,0.11,0.12,1.00,4.58,1.50,0.00,0.17,0.17,0.00,0.17,0.01,0.11,0.11,0.01,0.11,https://fbref.com/en/players/ef2e5e1a/Kevin-Strootman,ef2e5e1a,Big 5 combined
2449,Cristhian Stuani,URU,FW,Girona,es La Liga,37-201,1986,29,5,757,8.4,0.95,0.24,1.19,0.95,0.00,0.00,0.71,0.00,1.01,1.01,0.15,1.17,0.36,0.48,2.74,0.95,0.24,1.19,0.95,1.19,1.01,0.16,1.17,1.01,1.17,https://fbref.com/en/players/220c11f1/Cristhian-Stuani,220c11f1,Big 5 combined
2450,Álex Suárez,ESP,DF,Las Palmas,es La Liga,31-043,1993,27,26,2206,24.5,0.04,0.00,0.04,0.04,0.00,0.00,0.24,0.00,0.02,0.02,0.01,0.02,0.49,4.20,0.53,0.04,0.00,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,https://fbref.com/en/players/9c137b36/Alex-Suarez,9c137b36,Big 5 combined
2451,Damián Suárez,URU,DF,Getafe,es La Liga,36-003,1988,16,15,1299,14.4,0.00,0.14,0.14,0.00,0.00,0.00,0.49,0.07,0.02,0.02,0.06,0.08,1.39,4.03,3.26,0.00,0.14,0.14,0.00,0.14,0.02,0.06,0.08,0.02,0.08,https://fbref.com/en/players/ba5004e1/Damian-Suarez,ba5004e1,Big 5 combined
2452,Denis Suárez,ESP,"MF,FW",Villarreal,es La Liga,30-115,1994,4,1,133,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.20,0.27,2.67,8.67,4.67,0.00,0.00,0.00,0.00,0.00,0.06,0.18,0.24,0.06,0.24,https://fbref.com/en/players/12c50af5/Denis-Suarez,12c50af5,Big 5 combined
2453,Gabriel Suazo,CHI,DF,Toulouse,fr Ligue 1,26-265,1997,28,25,2192,24.4,0.00,0.12,0.12,0.00,0.00,0.00,0.20,0.00,0.03,0.03,0.11,0.14,1.60,4.39,6.27,0.00,0.12,0.12,0.00,0.12,0.03,0.11,0.14,0.03,0.14,https://fbref.com/en/players/39b326ed/Gabriel-Suazo,39b326ed,Big 5 combined
2454,Isaac Success,NGA,FW,Udinese,it Serie A,28-114,1996,24,7,770,8.6,0.00,0.12,0.12,0.00,0.00,0.12,0.47,0.00,0.28,0.19,0.12,0.31,1.63,1.51,5.35,0.00,0.12,0.12,0.00,0.12,0.28,0.12,0.40,0.19,0.31,https://fbref.com/en/players/f573a8bf/Isaac-Success,f573a8bf,Big 5 combined
2455,Niklas Süle,GER,DF,Dortmund,de Bundesliga,28-240,1995,21,12,1334,14.8,0.07,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.04,1.28,5.41,0.61,0.07,0.00,0.07,0.07,0.07,0.03,0.01,0.04,0.03,0.04,https://fbref.com/en/players/e33c06cf/Niklas-Sule,e33c06cf,Big 5 combined
2456,Ibrahim Sulemana,GHA,MF,Cagliari,it Serie A,20-344,2003,17,14,1102,12.2,0.16,0.00,0.16,0.16,0.00,0.00,0.25,0.00,0.05,0.05,0.01,0.06,0.90,1.89,0.98,0.16,0.00,0.16,0.16,0.16,0.05,0.01,0.06,0.05,0.06,https://fbref.com/en/players/230c3f3a/Ibrahim-Sulemana,230c3f3a,Big 5 combined
2457,Tomáš Suslov,SVK,"MF,FW",Hellas Verona,it Serie A,21-328,2002,28,21,1885,20.9,0.05,0.19,0.24,0.00,0.05,0.05,0.29,0.00,0.13,0.08,0.11,0.19,1.77,2.63,2.97,0.05,0.19,0.24,0.00,0.19,0.13,0.10,0.23,0.08,0.19,https://fbref.com/en/players/83fe71b8/Tomas-Suslov,83fe71b8,Big 5 combined
2458,Suso,ESP,"MF,FW",Sevilla,es La Liga,30-163,1993,27,14,1398,15.5,0.06,0.26,0.32,0.06,0.00,0.00,0.32,0.06,0.08,0.08,0.23,0.31,2.52,6.52,6.84,0.06,0.26,0.32,0.06,0.32,0.09,0.22,0.31,0.09,0.31,https://fbref.com/en/players/4e219ad2/Suso,4e219ad2,Big 5 combined
2459,Mattias Svanberg,SWE,MF,Wolfsburg,de Bundesliga,25-116,1999,25,20,1715,19.1,0.05,0.16,0.21,0.05,0.00,0.00,0.42,0.00,0.16,0.16,0.12,0.28,1.47,4.40,2.72,0.05,0.16,0.21,0.05,0.21,0.15,0.12,0.28,0.15,0.28,https://fbref.com/en/players/92d83c27/Mattias-Svanberg,92d83c27,Big 5 combined
2460,Mile Svilar,SRB,GK,Roma,it Serie A,24-247,1999,11,11,990,11.0,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/bcf5058a/Mile-Svilar,bcf5058a,Big 5 combined
2461,Williot Swedberg,SWE,"FW,MF",Celta Vigo,es La Liga,20-089,2004,12,1,235,2.6,1.54,0.00,1.54,1.54,0.00,0.00,0.00,0.00,0.77,0.77,0.00,0.77,1.54,0.77,5.00,1.53,0.00,1.53,1.53,1.53,0.77,0.01,0.78,0.77,0.78,https://fbref.com/en/players/184fe4b2/Williot-Swedberg,184fe4b2,Big 5 combined
2462,Karol Świderski,POL,"FW,MF",Hellas Verona,it Serie A,27-098,1997,12,3,420,4.7,0.21,0.00,0.21,0.21,0.00,0.00,0.00,0.00,0.21,0.21,0.09,0.30,0.43,2.55,3.40,0.21,0.00,0.21,0.21,0.21,0.22,0.08,0.30,0.22,0.30,https://fbref.com/en/players/41723204/Karol-Swiderski,41723204,Big 5 combined
2463,Abakar Sylla,CIV,DF,Strasbourg,fr Ligue 1,21-127,2002,19,16,1522,16.9,0.12,0.00,0.12,0.12,0.00,0.00,0.24,0.00,0.09,0.09,0.02,0.11,0.24,2.96,0.12,0.12,0.00,0.12,0.12,0.12,0.09,0.02,0.11,0.09,0.11,https://fbref.com/en/players/29c91632/Abakar-Sylla,29c91632,Big 5 combined
2464,Dembo Sylla,GUI,DF,Lorient,fr Ligue 1,21-172,2002,1,0,45,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,0.00,2.00,12.0,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,https://fbref.com/en/players/fcb9b1f8/Dembo-Sylla,fcb9b1f8,Big 5 combined
2465,Issiaga Sylla,GUI,"DF,FW",Montpellier,fr Ligue 1,30-120,1994,16,15,1263,14.0,0.07,0.07,0.14,0.07,0.00,0.00,0.21,0.00,0.09,0.09,0.12,0.21,1.71,2.71,3.43,0.07,0.07,0.14,0.07,0.14,0.09,0.12,0.20,0.09,0.20,https://fbref.com/en/players/b99bec05/Issiaga-Sylla,b99bec05,Big 5 combined
2466,Mamadou Sylla,SEN,"FW,MF",Alavés,es La Liga,30-041,1994,2,0,18,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/e5ec95f8/Mamadou-Sylla,e5ec95f8,Big 5 combined
2467,Attila Szalai,HUN,DF,Hoffenheim,de Bundesliga,26-101,1998,4,4,288,3.2,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.16,0.16,0.63,4.06,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,https://fbref.com/en/players/50ff205b/Attila-Szalai,50ff205b,Big 5 combined
2468,Attila Szalai,HUN,DF,Freiburg,de Bundesliga,26-101,1998,3,0,103,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.91,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,https://fbref.com/en/players/50ff205b/Attila-Szalai,50ff205b,Big 5 combined
2469,Wojciech Szczęsny,POL,GK,Juventus,it Serie A,34-012,1990,32,32,2880,32.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny,01b8a2b2,Big 5 combined
2470,Dominik Szoboszlai,HUN,MF,Liverpool,eng Premier League,23-188,2000,30,25,2071,23.0,0.13,0.09,0.22,0.13,0.00,0.00,0.04,0.00,0.15,0.15,0.24,0.39,3.17,6.43,6.65,0.13,0.09,0.22,0.13,0.22,0.15,0.24,0.39,0.15,0.39,https://fbref.com/en/players/934e1968/Dominik-Szoboszlai,934e1968,Big 5 combined
2471,Przemysław Szymiński,POL,MF,Frosinone,it Serie A,29-311,1994,1,0,9,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/9b3099d6/Przemyslaw-Szyminski,9b3099d6,Big 5 combined
2472,Alexander Sørloth,NOR,FW,Villarreal,es La Liga,28-147,1995,29,25,2113,23.5,0.72,0.21,0.94,0.72,0.00,0.00,0.13,0.00,0.44,0.44,0.15,0.59,1.70,1.32,5.32,0.72,0.21,0.94,0.72,0.94,0.44,0.15,0.59,0.44,0.59,https://fbref.com/en/players/e92cd3f7/Alexander-Sorloth,e92cd3f7,Big 5 combined
2473,Musa Al-Taamari,JOR,FW,Montpellier,fr Ligue 1,26-325,1997,25,22,1816,20.2,0.25,0.10,0.35,0.25,0.00,0.00,0.00,0.00,0.18,0.18,0.16,0.34,3.96,2.57,7.52,0.25,0.10,0.35,0.25,0.35,0.18,0.16,0.34,0.18,0.34,https://fbref.com/en/players/f15f8b2b/Musa-Al-Taamari,f15f8b2b,Big 5 combined
2474,Nicolás Tagliafico,ARG,DF,Lyon,fr Ligue 1,31-243,1992,23,23,1990,22.1,0.14,0.05,0.18,0.14,0.00,0.00,0.32,0.05,0.08,0.08,0.05,0.12,1.36,4.12,4.84,0.14,0.05,0.18,0.14,0.18,0.08,0.04,0.12,0.08,0.12,https://fbref.com/en/players/f0661424/Nicolas-Tagliafico,f0661424,Big 5 combined
2475,Jonathan Tah,GER,DF,Leverkusen,de Bundesliga,28-079,1996,28,28,2432,27.0,0.15,0.04,0.19,0.15,0.00,0.00,0.22,0.00,0.07,0.07,0.01,0.09,0.52,4.26,0.15,0.15,0.04,0.19,0.15,0.19,0.07,0.01,0.08,0.07,0.08,https://fbref.com/en/players/bd142efb/Jonathan-Tah,bd142efb,Big 5 combined
2476,Montassar Talbi,TUN,DF,Lorient,fr Ligue 1,25-340,1998,22,22,1934,21.5,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.02,0.02,0.01,0.03,0.51,3.67,0.28,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,https://fbref.com/en/players/a4a44eb0/Montassar-Talbi,a4a44eb0,Big 5 combined
2477,Yassin Tallal,ESP,MF,Getafe,es La Liga,18-363,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,https://fbref.com/en/players/8388ba65/Yassin-Tallal,8388ba65,Big 5 combined
2478,Adrien Tameze,CMR,"DF,MF",Torino,it Serie A,30-086,1994,26,22,1895,21.1,0.00,0.09,0.09,0.00,0.00,0.00,0.28,0.05,0.02,0.02,0.10,0.12,0.95,3.84,1.66,0.00,0.09,0.09,0.00,0.09,0.02,0.10,0.12,0.02,0.12,https://fbref.com/en/players/8da74c05/Adrien-Tameze,8da74c05,Big 5 combined
2479,Renato Tapia,PER,"MF,DF",Celta Vigo,es La Liga,28-277,1995,19,14,1266,14.1,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.07,0.07,0.07,0.04,0.11,0.57,4.04,0.92,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.12,0.07,0.12,https://fbref.com/en/players/34269bdf/Renato-Tapia,34269bdf,Big 5 combined
2480,Edmond Tapsoba,BFA,DF,Leverkusen,de Bundesliga,25-088,1999,25,20,1817,20.2,0.00,0.05,0.05,0.00,0.00,0.00,0.20,0.00,0.04,0.04,0.05,0.09,2.03,6.88,0.50,0.00,0.05,0.05,0.00,0.05,0.04,0.05,0.09,0.04,0.09,https://fbref.com/en/players/a73c8f95/Edmond-Tapsoba,a73c8f95,Big 5 combined
2481,Matt Targett,ENG,DF,Newcastle Utd,eng Premier League,28-225,1995,3,1,78,0.9,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,0.00,1.11,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,https://fbref.com/en/players/e514ab62/Matt-Targett,e514ab62,Big 5 combined
2482,Oussama Targhalline,MAR,MF,Le Havre,fr Ligue 1,21-346,2002,11,9,775,8.6,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.12,0.02,0.02,0.02,0.05,2.33,6.74,1.51,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,https://fbref.com/en/players/abd56820/Oussama-Targhalline,abd56820,Big 5 combined
2483,James Tarkowski,ENG,DF,Everton,eng Premier League,31-163,1992,35,35,3149,35.0,0.03,0.03,0.06,0.03,0.00,0.00,0.29,0.00,0.07,0.07,0.07,0.14,0.43,3.54,0.57,0.03,0.03,0.06,0.03,0.06,0.07,0.07,0.14,0.07,0.14,https://fbref.com/en/players/15ea812b/James-Tarkowski,15ea812b,Big 5 combined
2484,César Tárrega,ESP,DF,Valencia,es La Liga,22-064,2002,1,0,8,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/59c29820/Cesar-Tarrega,59c29820,Big 5 combined
2485,Nuno Tavares,POR,DF,Nott'ham Forest,eng Premier League,24-095,2000,8,5,457,5.1,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.04,0.04,0.10,0.14,2.75,4.71,2.35,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13,https://fbref.com/en/players/a65c844b/Nuno-Tavares,a65c844b,Big 5 combined
2486,Marcus Tavernier,ENG,FW,Bournemouth,eng Premier League,25-039,1999,28,24,2036,22.6,0.13,0.18,0.31,0.13,0.00,0.00,0.13,0.00,0.17,0.17,0.22,0.38,3.36,3.63,7.43,0.13,0.18,0.31,0.13,0.31,0.17,0.22,0.38,0.17,0.38,https://fbref.com/en/players/5c0da4a4/Marcus-Tavernier,5c0da4a4,Big 5 combined
2487,Elayis Tavsan,NED,"MF,FW",Hellas Verona,it Serie A,23-000,2001,2,0,33,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/928143e7/Elayis-Tavsan,928143e7,Big 5 combined
2488,Charlie Taylor,ENG,DF,Burnley,eng Premier League,30-225,1993,26,23,2167,24.1,0.04,0.04,0.08,0.04,0.00,0.00,0.29,0.00,0.01,0.01,0.05,0.06,1.45,3.20,3.20,0.04,0.04,0.08,0.04,0.08,0.01,0.05,0.06,0.01,0.06,https://fbref.com/en/players/cc2d7ad5/Charlie-Taylor,cc2d7ad5,Big 5 combined
2489,Loum Tchaouna,FRA,"FW,MF",Salernitana,it Serie A,20-235,2003,29,19,1740,19.3,0.16,0.16,0.31,0.16,0.00,0.00,0.16,0.00,0.11,0.11,0.06,0.17,3.21,2.49,6.63,0.16,0.16,0.31,0.16,0.31,0.12,0.06,0.17,0.12,0.17,https://fbref.com/en/players/a3c8b4d3/Loum-Tchaouna,a3c8b4d3,Big 5 combined
2490,Jackson Tchatchoua,BEL,DF,Hellas Verona,it Serie A,22-229,2001,23,17,1517,16.9,0.00,0.12,0.12,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.08,0.08,1.72,2.96,3.49,0.00,0.12,0.12,0.00,0.12,0.00,0.08,0.08,0.00,0.08,https://fbref.com/en/players/aeca7743/Jackson-Tchatchoua,aeca7743,Big 5 combined
2491,Enzo Tchato,CMR,DF,Montpellier,fr Ligue 1,21-159,2002,16,10,1035,11.5,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.03,0.03,0.03,0.05,1.91,3.65,4.87,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,https://fbref.com/en/players/7f783431/Enzo-Tchato,7f783431,Big 5 combined
2492,Aurélien Tchouaméni,FRA,"MF,DF",Real Madrid,es La Liga,24-094,2000,27,22,1987,22.1,0.14,0.05,0.18,0.14,0.00,0.00,0.32,0.00,0.06,0.06,0.04,0.10,1.27,5.02,0.68,0.14,0.05,0.18,0.14,0.18,0.06,0.04,0.10,0.06,0.10,https://fbref.com/en/players/4f255115/Aurelien-Tchouameni,4f255115,Big 5 combined
2493,Mathys Tel,FRA,"FW,MF",Bayern Munich,de Bundesliga,19-003,2005,27,3,809,9.0,0.67,0.44,1.11,0.67,0.00,0.00,0.22,0.00,0.36,0.36,0.18,0.53,4.67,2.78,12.0,0.67,0.44,1.11,0.67,1.11,0.36,0.18,0.53,0.36,0.53,https://fbref.com/en/players/829aa60c/Mathys-Tel,829aa60c,Big 5 combined
2494,Nathan Tella,NGA,"DF,MF",Leverkusen,de Bundesliga,24-300,1999,22,6,669,7.4,0.68,0.27,0.95,0.68,0.00,0.00,0.14,0.00,0.47,0.47,0.43,0.91,4.19,3.24,13.6,0.67,0.27,0.94,0.67,0.94,0.47,0.43,0.90,0.47,0.90,https://fbref.com/en/players/f1e94cd6/Nathan-Tella,f1e94cd6,Big 5 combined
2495,Nahuel Tenaglia,ARG,DF,Alavés,es La Liga,28-069,1996,21,8,841,9.3,0.11,0.00,0.11,0.11,0.00,0.00,0.32,0.00,0.06,0.06,0.01,0.08,1.18,3.33,1.08,0.11,0.00,0.11,0.11,0.11,0.06,0.01,0.07,0.06,0.07,https://fbref.com/en/players/66654daa/Nahuel-Tenaglia,66654daa,Big 5 combined
2496,Arnau Tenas,ESP,GK,Paris S-G,fr Ligue 1,22-336,2001,4,3,349,3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/30670b0e/Arnau-Tenas,30670b0e,Big 5 combined
