Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
1952,Falaye Sacko,MLI,DF,Montpellier,fr Ligue 1,28-252,1995,13.9,39.1,50.9,76.9,647.1,242.8,17.4,20.4,85.2,17.8,22.3,80.0,2.59,5.25,49.3,0.07,0.03,0.09,0.04,0.50,2.59,0.94,0.43,4.10,https://fbref.com/en/players/6388e356/Falaye-Sacko,6388e356,Big 5 combined
1953,Umar Sadiq,NGA,FW,Real Sociedad,es La Liga,26-340,1997,6.9,11.6,16.8,69.0,154.3,29.0,6.96,8.99,77.4,3.33,5.07,65.7,0.43,0.58,75.0,0.14,0.10,0.09,0.04,0.72,0.87,0.29,0.00,1.45,https://fbref.com/en/players/686cbe7d/Umar-Sadiq,686cbe7d,Big 5 combined
1954,Alexis Saelemaekers,BEL,FW,Bologna,it Serie A,24-195,1999,9.6,34.6,46.1,74.9,520.4,145.7,19.1,22.1,86.3,10.5,14.0,75.4,2.92,5.73,50.9,0.10,0.09,0.18,0.01,1.67,1.88,1.46,0.21,3.75,https://fbref.com/en/players/ee251371/Alexis-Saelemaekers,ee251371,Big 5 combined
1955,Wesley Saïd,FRA,"FW,MF",Lens,fr Ligue 1,28-264,1995,5.5,15.8,23.3,68.0,220.7,51.5,7.64,10.5,72.4,5.45,8.18,66.7,0.73,1.82,40.0,0.00,0.04,0.05,-0.04,0.73,1.64,0.73,0.00,1.82,https://fbref.com/en/players/90fcf472/Wesley-Said,90fcf472,Big 5 combined
1956,Théo Sainte-Luce,FRA,DF,Montpellier,fr Ligue 1,25-080,1998,3.5,36.0,45.7,78.8,549.1,237.7,18.6,20.3,91.5,15.4,19.7,78.3,1.14,3.43,33.3,0.00,0.03,0.03,-0.03,0.29,2.57,0.00,0.00,3.43,https://fbref.com/en/players/93c942fb/Theo-Sainte-Luce,93c942fb,Big 5 combined
1957,Bukayo Saka,ENG,FW,Arsenal,eng Premier League,22-125,2001,18.4,36.3,47.7,76.0,560.0,142.4,20.9,23.4,89.3,11.5,15.0,76.4,3.04,5.92,51.4,0.33,0.29,0.35,0.03,2.72,1.09,1.96,0.43,3.64,https://fbref.com/en/players/bc7dc64d/Bukayo-Saka,bc7dc64d,Big 5 combined
1958,Mamadou Sakho,FRA,DF,Montpellier,fr Ligue 1,33-329,1990,0.1,150.0,160.0,93.8,1920.0,1050.0,80.0,80.0,100.0,60.0,60.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,https://fbref.com/en/players/87935cf3/Mamadou-Sakho,87935cf3,Big 5 combined
1959,Ibrahim Salah,MAR,"FW,MF",Rennes,fr Ligue 1,22-131,2001,2.9,29.3,40.3,72.6,462.4,103.1,16.6,17.9,92.3,8.28,14.5,57.1,2.76,4.48,61.5,0.00,0.03,0.07,-0.03,0.69,1.72,1.38,0.34,3.45,https://fbref.com/en/players/cad3fd4d/Ibrahim-Salah,cad3fd4d,Big 5 combined
1960,Mohamed Salah,EGY,FW,Liverpool,eng Premier League,31-207,1992,19.3,26.3,36.1,72.8,383.6,111.5,15.1,17.9,84.6,9.12,12.6,72.4,1.14,2.18,52.4,0.41,0.44,0.30,-0.03,2.44,1.97,2.28,0.26,5.13,https://fbref.com/en/players/e342ad68/Mohamed-Salah,e342ad68,Big 5 combined
1961,Amine Salama,FRA,"FW,MF",Reims,fr Ligue 1,23-174,2000,2.4,11.7,17.1,68.3,176.7,32.9,6.67,9.17,72.7,4.17,5.83,71.4,0.42,0.83,50.0,0.00,0.00,0.04,0.00,0.42,2.50,0.00,0.00,2.50,https://fbref.com/en/players/bc7cc472/Amine-Salama,bc7cc472,Big 5 combined
1962,Kike Salas,ESP,DF,Sevilla,es La Liga,21-260,2002,5.7,54.2,68.6,79.0,874.7,286.5,26.8,29.8,90.0,23.0,28.6,80.4,2.81,6.84,41.0,0.00,0.02,0.02,-0.02,0.35,2.63,0.35,0.00,4.91,https://fbref.com/en/players/0a69de7b/Kike-Salas,0a69de7b,Big 5 combined
1963,William Saliba,FRA,DF,Arsenal,eng Premier League,22-290,2001,20.0,73.7,79.5,92.6,1272.8,462.6,31.2,33.0,94.4,38.1,40.5,94.3,3.45,4.60,75.0,0.05,0.01,0.03,0.04,0.20,4.50,0.15,0.00,4.05,https://fbref.com/en/players/972aeb2a/William-Saliba,972aeb2a,Big 5 combined
1964,Mohammed Salisu,GHA,DF,Monaco,fr Ligue 1,24-266,1999,3.0,57.0,67.7,84.2,876.3,339.3,29.7,31.3,94.7,24.0,29.3,81.8,1.67,4.33,38.5,0.00,0.00,0.03,0.00,0.33,10.0,0.00,0.00,6.33,https://fbref.com/en/players/0b33f6ad/Mohammed-Salisu,0b33f6ad,Big 5 combined
1965,Roland Sallai,HUN,"FW,DF",Freiburg,de Bundesliga,26-231,1997,8.4,20.6,31.1,66.3,300.0,74.9,12.6,14.4,87.6,6.55,10.0,65.5,0.95,3.21,29.6,0.00,0.14,0.14,-0.14,1.67,0.83,1.79,0.71,2.02,https://fbref.com/en/players/bf075f6b/Roland-Sallai,bf075f6b,Big 5 combined
1966,Yoann Salmier,GUF,DF,Le Havre,fr Ligue 1,31-048,1992,12.1,37.1,45.8,81.0,631.2,264.8,16.4,18.3,89.6,17.0,19.5,87.3,2.64,6.53,40.5,0.08,0.05,0.07,0.03,0.33,2.07,0.41,0.08,2.73,https://fbref.com/en/players/c3725db2/Yoann-Salmier,c3725db2,Big 5 combined
1967,Salvi,ESP,MF,Rayo Vallecano,es La Liga,32-284,1991,0.3,33.3,40.0,83.3,463.3,56.7,13.3,13.3,100.0,13.3,16.7,80.0,3.33,6.67,50.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/405f267a/Salvi,405f267a,Big 5 combined
1968,Lazar Samardzic,SRB,MF,Udinese,it Serie A,21-318,2002,12.7,30.7,41.6,73.9,541.2,187.2,15.0,17.3,86.8,9.61,12.0,79.7,4.96,9.53,52.1,0.16,0.20,0.20,-0.04,2.52,3.46,0.63,0.16,3.70,https://fbref.com/en/players/217c93a1/Lazar-Samardzic,217c93a1,Big 5 combined
1969,Diadie Samassékou,MLI,MF,Hoffenheim,de Bundesliga,27-362,1996,0.0,2,2,100.0,25,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,https://fbref.com/en/players/08593525/Diadie-Samassekou,08593525,Big 5 combined
1970,Mama Samba Baldé,GNB,"FW,MF",Lyon,fr Ligue 1,28-063,1995,4.4,12.0,19.8,60.9,158.6,37.7,6.82,9.09,75.0,3.18,6.82,46.7,0.68,1.14,60.0,0.00,0.16,0.16,-0.16,1.59,0.91,0.45,0.00,1.14,https://fbref.com/en/players/fb14aa28/Mama-Samba-Balde,fb14aa28,Big 5 combined
1971,Brice Samba,FRA,GK,Lens,fr Ligue 1,29-258,1994,17.0,24.1,30.6,78.7,646.2,453.9,4.65,4.65,100.0,11.0,11.1,98.9,8.12,14.5,56.1,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.00,https://fbref.com/en/players/60d90c55/Brice-Samba,60d90c55,Big 5 combined
1972,Albert Sambi Lokonga,BEL,MF,Luton Town,eng Premier League,24-078,1999,4.5,37.1,44.0,84.3,658.7,179.3,16.2,18.0,90.1,14.0,16.0,87.5,4.00,5.56,72.0,0.22,0.02,0.02,0.20,0.44,4.44,0.00,0.00,3.78,https://fbref.com/en/players/1b4f1169/Albert-Sambi-Lokonga,1b4f1169,Big 5 combined
1973,Junior Sambia,FRA,"DF,MF",Salernitana,it Serie A,27-123,1996,1.6,32.5,49.4,65.8,474.4,106.3,20.0,23.1,86.5,10.6,18.1,58.6,1.25,4.38,28.6,0.00,0.13,0.06,-0.13,1.88,2.50,2.50,0.63,4.38,https://fbref.com/en/players/24eb7ed6/Junior-Sambia,24eb7ed6,Big 5 combined
1974,Fede San Emeterio,ESP,MF,Cádiz,es La Liga,26-298,1997,1.5,25.3,31.3,80.9,468.0,158.7,8.67,10.0,86.7,11.3,12.7,89.5,4.00,4.67,85.7,0.00,0.07,0.13,-0.07,0.67,1.33,0.67,0.67,2.00,https://fbref.com/en/players/efecd633/Fede-San-Emeterio,efecd633,Big 5 combined
1975,Antonio Sanabria,PAR,"FW,MF",Torino,it Serie A,27-310,1996,11.6,20.8,28.0,74.2,319.1,54.8,12.1,14.7,82.4,6.38,8.36,76.3,1.55,2.50,62.1,0.00,0.05,0.05,-0.05,0.60,1.72,0.52,0.09,2.50,https://fbref.com/en/players/0a447501/Antonio-Sanabria,0a447501,Big 5 combined
1976,Marciano Sanca,GNB,"FW,MF",Almería,es La Liga,19-311,2004,0.5,28.0,48.0,58.3,324.0,104.0,24.0,32.0,75.0,4.00,8.00,50.0,0.00,4.00,0.0,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,https://fbref.com/en/players/39a938cb/Marciano-Sanca,39a938cb,Big 5 combined
1977,Oihan Sancet,ESP,MF,Athletic Club,es La Liga,23-258,2000,14.0,30.4,37.4,81.3,446.8,114.4,16.7,19.1,87.3,10.9,12.9,84.4,1.50,2.07,72.4,0.29,0.26,0.15,0.03,2.29,4.36,1.43,0.14,5.93,https://fbref.com/en/players/bdb624a3/Oihan-Sancet,bdb624a3,Big 5 combined
1978,Renato Sanches,POR,MF,Roma,it Serie A,26-143,1997,1.3,40.0,46.9,85.2,632.3,147.7,22.3,23.1,96.7,16.2,18.5,87.5,1.54,3.85,40.0,0.00,0.15,0.08,-0.15,2.31,3.08,1.54,0.77,7.69,https://fbref.com/en/players/032f894e/Renato-Sanches,032f894e,Big 5 combined
1979,Ricard Sánchez,ESP,DF,Granada,es La Liga,23-320,2000,15.0,32.5,43.0,75.7,550.5,228.2,16.7,19.4,85.9,12.1,15.3,79.1,2.73,5.27,51.9,0.00,0.08,0.13,-0.08,0.87,2.27,1.20,0.87,3.00,https://fbref.com/en/players/fce521d7/Ricard-Sanchez,fce521d7,Big 5 combined
1980,Alexis Sánchez,CHI,FW,Inter,it Serie A,35-020,1988,1.8,33.3,41.7,80.0,511.1,141.7,17.2,19.4,88.6,8.89,11.1,80.0,3.33,4.44,75.0,0.00,0.22,0.22,-0.22,2.22,2.78,1.67,0.56,5.00,https://fbref.com/en/players/2c0f8e9e/Alexis-Sanchez,2c0f8e9e,Big 5 combined
1981,Antonio Sánchez,ESP,"MF,FW",Mallorca,es La Liga,27-007,1997,8.3,23.4,32.5,71.9,375.7,114.1,12.2,14.7,82.8,8.55,11.1,77.2,2.05,3.86,53.1,0.12,0.06,0.14,0.06,0.84,2.05,0.96,0.36,3.73,https://fbref.com/en/players/a254bbe0/Antonio-Sanchez,a254bbe0,Big 5 combined
1982,Davinson Sánchez,COL,DF,Tottenham,eng Premier League,27-210,1996,0.9,75.6,83.3,90.7,1161.1,418.9,41.1,42.2,97.4,30.0,32.2,93.1,3.33,6.67,50.0,0.00,0.00,0.00,0.00,0.00,14.4,0.00,0.00,2.22,https://fbref.com/en/players/da7b447d/Davinson-Sanchez,da7b447d,Big 5 combined
1983,Juanlu Sánchez,ESP,DF,Sevilla,es La Liga,20-146,2003,9.7,43.9,55.3,79.5,658.7,223.6,25.1,28.7,87.4,16.5,20.1,82.1,1.65,2.99,55.2,0.21,0.09,0.09,0.11,1.24,2.99,1.86,0.93,4.33,https://fbref.com/en/players/cc6de655/Juanlu-Sanchez,cc6de655,Big 5 combined
1984,Manu Sánchez,ESP,DF,Celta Vigo,es La Liga,23-137,2000,12.0,35.0,45.7,76.6,539.8,238.4,19.8,22.3,89.1,12.5,15.8,79.4,1.92,4.50,42.6,0.25,0.18,0.21,0.07,1.08,3.17,1.42,0.75,4.33,https://fbref.com/en/players/ffacd3d5/Manu-Sanchez,ffacd3d5,Big 5 combined
1985,Robert Sánchez,ESP,GK,Chelsea,eng Premier League,26-051,1997,15.9,31.4,38.3,82.1,745.9,485.5,8.49,8.55,99.3,15.7,16.2,97.3,7.04,13.3,53.1,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.06,https://fbref.com/en/players/6a713852/Robert-Sanchez,6a713852,Big 5 combined
1986,Jadon Sancho,ENG,"FW,MF",Manchester Utd,eng Premier League,23-289,2000,0.9,37.8,47.8,79.1,495.6,128.9,24.4,27.8,88.0,11.1,15.6,71.4,1.11,1.11,100.0,0.00,0.11,0.11,-0.11,1.11,2.22,2.22,0.00,4.44,https://fbref.com/en/players/dbf053da/Jadon-Sancho,dbf053da,Big 5 combined
1987,Alex Sandro,BRA,DF,Juventus,it Serie A,32-347,1991,3.4,61.5,72.1,85.3,1043.5,364.4,27.6,29.7,93.1,27.4,29.4,93.0,5.88,10.6,55.6,0.00,0.21,0.12,-0.21,0.88,5.29,1.47,0.59,5.59,https://fbref.com/en/players/0d82903c/Alex-Sandro,0d82903c,Big 5 combined
1988,Ibou Sané,SEN,"FW,MF",Metz,fr Ligue 1,18-286,2005,1.0,23.0,28.0,82.1,382.0,115.0,10.0,12.0,83.3,12.0,13.0,92.3,1.00,2.00,50.0,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,4.00,https://fbref.com/en/players/22d90df9/Ibou-Sane,22d90df9,Big 5 combined
1989,Leroy Sané,GER,FW,Bayern Munich,de Bundesliga,27-362,1996,14.6,36.2,45.3,79.9,539.9,132.5,21.7,24.8,87.6,10.2,12.2,83.7,2.74,4.66,58.8,0.55,0.55,0.47,-0.01,3.36,1.64,1.78,0.07,4.86,https://fbref.com/en/players/2b114be3/Leroy-Sane,2b114be3,Big 5 combined
1990,Sadibou Sané,SEN,DF,Metz,fr Ligue 1,19-212,2004,0.5,22.0,28.0,78.6,484.0,134.0,4.00,8.00,50.0,12.0,12.0,100.0,4.00,6.00,66.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/b2009f99/Sadibou-Sane,b2009f99,Big 5 combined
1991,Arouna Sangante,SEN,DF,Le Havre,fr Ligue 1,21-271,2002,14.0,43.8,52.2,83.9,882.9,324.1,14.4,16.3,88.2,22.9,25.0,91.7,5.71,9.21,62.0,0.00,0.04,0.04,-0.04,0.43,2.71,0.07,0.00,3.07,https://fbref.com/en/players/17bb562c/Arouna-Sangante,17bb562c,Big 5 combined
1992,Ibrahim Sangaré,CIV,MF,Nott'ham Forest,eng Premier League,26-037,1997,9.1,29.8,36.9,80.7,466.8,148.9,16.2,18.0,89.6,10.1,12.3,82.1,2.42,3.74,64.7,0.00,0.03,0.04,-0.03,0.66,2.97,0.55,0.00,3.85,https://fbref.com/en/players/bced0375/Ibrahim-Sangare,bced0375,Big 5 combined
1993,Morgan Sanson,FRA,MF,Nice,fr Ligue 1,29-143,1994,13.6,32.3,42.6,75.7,557.0,144.3,14.6,16.5,88.4,12.4,15.5,79.6,3.75,7.79,48.1,0.15,0.24,0.20,-0.09,2.13,2.87,0.96,0.22,3.97,https://fbref.com/en/players/6e7f1353/Morgan-Sanson,6e7f1353,Big 5 combined
1994,Nicola Sansone,ITA,"FW,MF",Lecce,it Serie A,32-120,1991,3.5,25.1,33.1,75.9,364.6,101.7,13.7,15.7,87.3,8.86,10.6,83.8,1.14,3.43,33.3,0.57,0.20,0.14,0.37,2.00,2.86,1.43,0.29,3.14,https://fbref.com/en/players/7eb97a8e/Nicola-Sansone,7eb97a8e,Big 5 combined
1995,Baptiste Santamaria,FRA,MF,Rennes,fr Ligue 1,28-305,1995,8.3,48.0,55.4,86.5,870.7,201.4,18.0,20.5,87.6,22.5,25.1,89.9,5.30,6.75,78.6,0.00,0.01,0.06,-0.01,0.24,3.01,0.48,0.00,5.18,https://fbref.com/en/players/5e22e2a4/Baptiste-Santamaria,5e22e2a4,Big 5 combined
1996,Andrey Santos,BRA,MF,Nott'ham Forest,eng Premier League,19-250,2004,0.1,60.0,60.0,100.0,900.0,310.0,40.0,40.0,100.0,20.0,20.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,https://fbref.com/en/players/dd745366/Andrey-Santos,dd745366,Big 5 combined
1997,Tiago santos,POR,DF,Lille,fr Ligue 1,21-169,2002,10.4,40.8,50.3,81.1,696.4,190.8,18.6,20.6,90.2,16.7,21.1,79.5,3.94,6.25,63.1,0.00,0.09,0.09,-0.09,0.87,3.17,0.96,0.29,4.23,https://fbref.com/en/players/3eeebc87/Tiago-santos,3eeebc87,Big 5 combined
1998,Riccardo Saponara,ITA,"FW,MF",Hellas Verona,it Serie A,32-018,1991,2.7,23.3,33.7,69.2,397.8,121.5,8.89,11.1,80.0,10.4,14.4,71.8,2.22,2.96,75.0,0.00,0.04,0.04,-0.04,0.74,2.22,1.11,0.37,4.07,https://fbref.com/en/players/3bb7af3b/Riccardo-Saponara,3bb7af3b,Big 5 combined
1999,Pablo Sarabia,ESP,"FW,MF",Wolves,eng Premier League,31-242,1992,7.5,34.8,50.1,69.4,573.3,203.7,19.9,23.5,84.7,8.93,12.4,72.0,4.13,9.33,44.3,0.67,0.57,0.41,0.09,3.73,3.20,2.53,0.40,6.27,https://fbref.com/en/players/9744ff80/Pablo-Sarabia,9744ff80,Big 5 combined
2000,Amin Sarr,SWE,"FW,MF",Lyon,fr Ligue 1,22-303,2001,1.1,11.8,18.2,65.0,133.6,10.0,5.45,9.09,60.0,3.64,3.64,100.0,0.00,0.91,0.0,0.00,0.18,0.09,-0.18,0.91,0.91,0.91,0.00,0.91,https://fbref.com/en/players/d5326924/Amin-Sarr,d5326924,Big 5 combined
2001,Amin Sarr,SWE,"FW,MF",Wolfsburg,de Bundesliga,22-303,2001,1.1,9.09,20.9,43.5,103.6,39.1,4.55,10.9,41.7,2.73,4.55,60.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.82,https://fbref.com/en/players/d5326924/Amin-Sarr,d5326924,Big 5 combined
2002,Bouna Sarr,SEN,DF,Bayern Munich,de Bundesliga,31-342,1992,1.2,76.7,86.7,88.5,1142.5,238.3,44.2,48.3,91.4,29.2,33.3,87.5,2.50,3.33,75.0,0.00,0.00,0.08,0.00,0.00,7.50,0.83,0.83,1.67,https://fbref.com/en/players/1a4b9094/Bouna-Sarr,1a4b9094,Big 5 combined
2003,Ismaila Sarr,SEN,"FW,MF",Marseille,fr Ligue 1,25-317,1998,9.2,22.7,29.6,76.8,307.4,69.1,15.1,17.8,84.8,6.20,8.48,73.1,0.54,1.09,50.0,0.11,0.18,0.16,-0.08,1.09,0.65,0.54,0.22,2.17,https://fbref.com/en/players/bfdb33aa/Ismaila-Sarr,bfdb33aa,Big 5 combined
2004,Mamadou Sarr,FRA,DF,Lyon,fr Ligue 1,18-132,2005,0.1,40.0,40.0,100.0,570.0,70.0,20.0,20.0,100.0,20.0,20.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/61f80c89/Mamadou-Sarr,61f80c89,Big 5 combined
2005,Martin Satriano,URU,FW,Brest,fr Ligue 1,22-322,2001,8.4,14.2,21.7,65.4,223.6,36.0,7.86,11.3,69.5,3.81,5.60,68.1,1.55,2.02,76.5,0.12,0.11,0.05,0.01,1.31,0.71,0.12,0.00,1.79,https://fbref.com/en/players/86383d0e/Martin-Satriano,86383d0e,Big 5 combined
2006,Téji Savanier,FRA,MF,Montpellier,fr Ligue 1,32-017,1991,16.4,43.0,62.8,68.4,883.3,351.4,16.3,19.8,82.5,14.8,19.6,75.2,9.82,19.0,51.6,0.24,0.23,0.30,0.02,3.23,6.89,1.34,0.24,6.89,https://fbref.com/en/players/6bde367b/Teji-Savanier,6bde367b,Big 5 combined
2007,Stefan Savić,MNE,DF,Atlético Madrid,es La Liga,33-000,1991,8.0,43.6,53.6,81.4,766.4,308.0,19.0,20.6,92.1,20.3,23.4,86.6,3.50,7.50,46.7,0.00,0.00,0.01,0.00,0.00,3.00,0.38,0.00,3.63,https://fbref.com/en/players/f6ac68c1/Stefan-Savic,f6ac68c1,Big 5 combined
2008,Sávio,BRA,"MF,FW",Girona,es La Liga,19-273,2004,17.1,25.3,33.6,75.4,350.3,72.9,15.6,17.5,89.3,7.60,10.5,72.6,0.94,2.11,44.4,0.29,0.26,0.32,0.04,1.29,0.82,1.58,0.41,2.28,https://fbref.com/en/players/fe6e7156/Savio,fe6e7156,Big 5 combined
2009,Saba Sazonov,GEO,DF,Torino,it Serie A,21-341,2002,1.6,48.8,53.1,91.8,964.4,272.5,17.5,18.1,96.6,23.1,25.0,92.5,8.13,9.38,86.7,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,1.88,https://fbref.com/en/players/645dffbf/Saba-Sazonov,645dffbf,Big 5 combined
2010,Joe Scally,USA,DF,M'Gladbach,de Bundesliga,21-008,2002,12.9,46.8,57.8,81.0,741.8,286.6,24.1,26.5,90.9,18.5,22.3,83.0,3.02,5.97,50.6,0.08,0.03,0.05,0.05,0.47,2.17,0.54,0.31,3.64,https://fbref.com/en/players/236f02cd/Joe-Scally,236f02cd,Big 5 combined
2011,Giorgio Scalvini,ITA,DF,Atalanta,it Serie A,20-028,2003,15.0,44.1,55.0,80.2,725.2,285.9,21.3,24.3,87.9,19.0,22.3,85.1,2.73,6.00,45.6,0.07,0.04,0.05,0.03,0.33,2.73,0.53,0.07,3.33,https://fbref.com/en/players/1e9aa637/Giorgio-Scalvini,1e9aa637,Big 5 combined
2012,Gianluca Scamacca,ITA,FW,Atalanta,it Serie A,25-007,1999,7.1,17.5,25.8,67.8,327.9,50.7,8.17,11.8,69.0,5.35,7.46,71.7,3.10,3.66,84.6,0.28,0.10,0.07,0.18,1.13,1.41,0.56,0.00,1.83,https://fbref.com/en/players/8790f988/Gianluca-Scamacca,8790f988,Big 5 combined
2013,Kevin Schade,GER,"FW,MF",Brentford,eng Premier League,22-042,2001,2.9,14.8,24.5,60.6,215.2,59.0,9.31,12.4,75.0,5.17,8.62,60.0,0.34,0.69,50.0,0.00,0.14,0.14,-0.14,1.03,2.41,1.03,0.69,3.10,https://fbref.com/en/players/52afb588/Kevin-Schade,52afb588,Big 5 combined
2014,András Schäfer,HUN,MF,Union Berlin,de Bundesliga,24-270,1999,1.9,28.4,37.4,76.1,434.7,100.0,17.9,21.6,82.9,8.95,11.1,81.0,1.58,3.16,50.0,0.00,0.05,0.05,-0.05,1.05,3.16,0.53,0.00,4.74,https://fbref.com/en/players/049751d7/Andras-Schafer,049751d7,Big 5 combined
2015,Fabian Schär,SUI,DF,Newcastle Utd,eng Premier League,32-019,1991,19.1,57.5,67.5,85.2,1133.4,461.4,20.9,22.8,91.5,28.3,30.4,92.9,7.75,12.8,60.4,0.00,0.02,0.06,-0.02,0.21,4.45,0.52,0.05,3.98,https://fbref.com/en/players/c8aa95da/Fabian-Schar,c8aa95da,Big 5 combined
2016,Patrik Schick,CZE,"FW,MF",Leverkusen,de Bundesliga,27-349,1996,1.3,20.0,27.7,72.2,222.3,33.1,14.6,20.8,70.4,3.85,3.85,100.0,0.00,0.00,,0.00,0.08,0.31,-0.08,0.77,0.77,0.00,0.00,0.77,https://fbref.com/en/players/5d4f7d61/Patrik-Schick,5d4f7d61,Big 5 combined
2017,Stefan Schimmer,GER,"MF,FW",Heidenheim,de Bundesliga,29-255,1994,0.8,12.5,30.0,41.7,121.3,53.8,7.50,12.5,60.0,2.50,8.75,28.6,0.00,0.00,,1.25,1.13,0.87,0.13,1.25,1.25,0.00,0.00,1.25,https://fbref.com/en/players/395bbb60/Stefan-Schimmer,395bbb60,Big 5 combined
2018,Xaver Schlager,AUT,MF,RB Leipzig,de Bundesliga,26-102,1997,13.7,56.1,63.9,87.9,934.6,263.1,27.7,30.0,92.5,23.5,25.4,92.5,4.09,5.77,70.9,0.07,0.11,0.12,-0.04,0.95,6.42,0.88,0.15,7.81,https://fbref.com/en/players/8f056768/Xaver-Schlager,8f056768,Big 5 combined
2019,Keven Schlotterbeck,GER,DF,Bochum,de Bundesliga,26-255,1997,9.0,29.6,39.9,74.1,567.8,232.3,10.1,12.9,78.4,16.3,19.9,82.1,2.89,5.67,51.0,0.00,0.03,0.06,-0.03,0.22,1.44,0.22,0.00,2.78,https://fbref.com/en/players/f6bdc830/Keven-Schlotterbeck,f6bdc830,Big 5 combined
2020,Nico Schlotterbeck,GER,DF,Dortmund,de Bundesliga,24-038,1999,14.5,70.7,79.8,88.6,1426.3,520.1,21.7,23.2,93.5,39.7,42.3,93.8,8.83,12.9,68.4,0.00,0.05,0.08,-0.05,0.48,6.21,0.55,0.00,5.52,https://fbref.com/en/players/34e12499/Nico-Schlotterbeck,34e12499,Big 5 combined
2021,Jeffrey Schlupp,GHA,"FW,MF",Crystal Palace,eng Premier League,31-016,1992,12.0,15.7,20.8,75.5,216.8,56.9,9.67,11.8,82.3,5.17,5.92,87.3,0.42,1.58,26.3,0.08,0.14,0.10,-0.06,1.17,1.00,0.50,0.00,2.17,https://fbref.com/en/players/3312f911/Jeffrey-Schlupp,3312f911,Big 5 combined
2022,Romano Schmid,AUT,MF,Werder Bremen,de Bundesliga,23-346,2000,13.6,34.9,44.7,78.0,567.0,178.0,16.5,20.5,80.3,13.8,16.3,84.6,3.09,4.56,67.7,0.15,0.21,0.22,-0.06,1.47,3.82,1.69,0.37,5.51,https://fbref.com/en/players/220ace7e/Romano-Schmid,220ace7e,Big 5 combined
2023,Kenneth Schmidt,GER,DF,Freiburg,de Bundesliga,21-219,2002,0.8,53.8,60.0,89.6,936.3,298.8,22.5,22.5,100.0,27.5,31.3,88.0,2.50,2.50,100.0,0.00,0.13,0.13,-0.13,2.50,2.50,1.25,1.25,5.00,https://fbref.com/en/players/7d31f1cb/Kenneth-Schmidt,7d31f1cb,Big 5 combined
2024,Niklas Schmidt,GER,MF,Toulouse,fr Ligue 1,25-313,1998,8.8,45.3,56.2,80.6,905.0,292.6,16.7,19.7,85.0,19.5,22.5,86.9,7.73,10.9,70.8,0.00,0.16,0.13,-0.16,2.39,5.45,1.02,0.45,7.16,https://fbref.com/en/players/b9ae8560/Niklas-Schmidt,b9ae8560,Big 5 combined
2025,Benno Schmitz,GER,DF,Köln,de Bundesliga,29-052,1994,6.0,39.2,58.2,67.3,635.0,336.2,21.2,24.3,87.0,13.0,20.5,63.4,4.00,8.83,45.3,0.00,0.03,0.03,-0.03,0.33,3.50,0.83,0.33,6.33,https://fbref.com/en/players/ad00b1a8/Benno-Schmitz,ad00b1a8,Big 5 combined
2026,Fabian Schnellhardt,GER,MF,Darmstadt 98,de Bundesliga,29-361,1994,2.3,57.4,65.7,87.4,1006.1,196.5,21.7,24.3,89.3,30.9,33.0,93.4,3.48,4.35,80.0,0.00,0.00,0.04,0.00,0.43,3.48,0.43,0.00,6.09,https://fbref.com/en/players/8575037f/Fabian-Schnellhardt,8575037f,Big 5 combined
2027,Jan Schöppner,GER,MF,Heidenheim,de Bundesliga,24-210,1999,7.0,18.1,29.0,62.6,292.9,91.1,9.57,14.1,67.7,6.43,9.71,66.2,1.57,2.86,55.0,0.00,0.06,0.03,-0.06,0.57,1.00,0.29,0.00,2.71,https://fbref.com/en/players/932bfcac/Jan-Schoppner,932bfcac,Big 5 combined
